_id_,comp_externo1,comp_externo2,comp_externo3,comp_externo4
26413,75.36231884,7.46911807,77,-229
96086,72.46376812,3.188738868,68,-230
49399,289.8550725,8.618213157,53,-230
54838,67.82608696,2.010916403,117,-230
59370,1159.42029,36.19649526,128,-230
15388,385.5072464,38.20741166,25,-230
17994,199.7101449,19.79316288,112,-230
33754,208.6956522,4.309106579,123,-230
6975,1207.246377,119.649526,122,-230
49781,57.97101449,2.585463947,82,-230
30004,159.4202899,110,-230,
83033,1061.73913,105.2283826,125,-230
37853,840.5217391,83.30364838,129,-230
82158,49.27536232,4.883654122,71,-230
64423,517.1014493,51.24964091,105,-230
67255,330.4347826,32.74921,92,-230
12173,118.8405797,11.77822465,70,-230
68260,142.0289855,86,-230,
90458,347.5362319,34.44412525,86,-230
50321,112.7536232,125,-229,
18269,168.115942,16.66187877,108,-230
50529,289.8550725,10.34185579,68,-230
29497,72.46376812,7.181844298,114,-230
96681,886.9565217,87.9057742,115,-230
73370,355.1014493,35.1939098,114,-230
91763,247.0144928,24.48147084,130,-230
18034,511.5942029,13.35823039,115,-230
56288,124.6376812,12.35277219,102,-230
76546,105.7971014,10.48549267,131,-230
86609,8.695652174,-608,-229,
53889,497.1014493,21.54553289,111,-230
11503,231.884058,22.98190175,130,-230
5075,172.7536232,12.18040793,61,-229
71635,358.2608696,79,-229,
26447,35.65217391,3.533467394,13,-230
32552,28.98550725,2.872737719,112,-230
74229,-609,9999999770,,
19549,298.5507246,5.745475438,80,-229
13256,75.36231884,7.46911807,75,-230
64428,263.7681159,26.14191324,92,-230
79068,487562.2551,10.05458202,-28,-230
19896,217.3913043,21.54553289,59,-230
33564,127.5362319,10.97385809,41,-230
43800,257.9710145,2.872737719,106,-230
43928,108.9855072,10.80149382,76,-230
58672,142.0289855,14.07641482,45,-230
68723,1830.231884,181.3932778,120,-230
62056,202.8985507,4.504452743,72,-230
17383,536.8115942,53.20310256,90,-230
98073,2398.550725,237.7190463,119,-230
78273,414.7826087,41.10887676,127,-230
51068,452.173913,44.81470842,16,-230
81371,249.8550725,24.76299914,108,-230
2427,503.7681159,42.51651824,128,-230
36780,701.4492754,69.5202528,-55,-230
59031,333.3333333,33.03648377,51,-230
20158,43.47826087,4.309106579,50,-230
71822,75.36231884,7.46911807,64,-230
35625,471.884058,46.76817007,90,-230
49850,501.4492754,49.69836254,110,-230
17752,796.5217391,78.94283252,-22,-230
30509,349.5652174,34.64521689,132,-230
88616,314.5217391,31.17207699,128,-230
79328,113.0434783,11.2036771,83,-230
60306,144.9275362,74,-230,
61643,713.0434783,70.66934789,76,-230
64816,60,-230,,
91003,246.3768116,132,-230,
51755,59.13043478,0.003160011,92,-230
3251,278.2608696,27.5782821,102,-230
86930,104.3478261,8.417121517,131,-230
19528,1146.666667,19.3909796,134,-230
91895,52.17391304,63,-229,
69263,354.2028986,35.10485493,75,-230
2493,88.08695652,8.730249928,92,-230
81535,794.8376812,78.77592646,123,-230
28749,58.84057971,5.83165757,96,-230
34898,534.4927536,52.97328354,96,-230
43391,39.13043478,3.878195921,-26,-229
13381,210.1449275,6.607296754,107,-230
26226,89.85507246,8.905486929,58,-230
44084,304.3478261,14.3636886,66,-230
58909,40.57971014,132,-230,
56072,214.4927536,21.25825912,62,-230
82278,286.9565217,9.767308245,8,-229
4976,56.52173913,5.601838552,111,-230
5626,466.6666667,25.85463947,112,-230
26749,634.0869565,62.84401034,87,-230
48050,1486.956522,147.371445,72,-230
97960,86.95652174,8.618213157,54,-230
9960,181.1594203,17.95461074,129,-230
21933,5.208695652,73,-229,
36534,226.0869565,22.40735421,113,-230
55030,60.86956522,6.03274921,65,-230
97548,1449.278261,143.6371732,128,-230
28706,-609,9999999770,,
53831,24.57971014,107,-230,
86288,356.5217391,35.33467394,127,-230
5951,50.14492754,46,-229,
73938,205.1884058,20.33611031,107,-230
13473,229.5652174,22.75208273,91,-230
78177,91.60289855,9.078713014,127,-230
96021,173.9130435,17.23642631,86,-230
60951,43.47826087,4.309106579,75,-230
64117,724.6376812,71.81844298,-25,-229
8696,116.173913,11.51393278,-18,-229
70703,81,-230,,
60853,150.4347826,14.3636886,-45,-230
78768,1412.463768,139.988509,96,-230
31467,246.3768116,24.41827061,90,-230
13341,57.97101449,5.745475438,17,-229
30922,144.9275362,14.3636886,124,-230
34275,531.5942029,21.25825912,67,-230
17832,144.9275362,14.3636886,111,-229
95438,731.884058,72.53662741,51,-230
84007,226.0869565,22.40735421,113,-230
89726,1586.231884,157.2105717,119,-230
10518,253.6231884,66,-230,
72698,1304.347826,129.2731974,134,-230
32467,43.1884058,4.280379201,80,-230
94635,334.7826087,33.18012065,128,-230
93016,1278.26087,126.6877334,127,-230
50836,1017.971014,100.8905487,119,-230
91407,324.6376812,32.17466245,125,-230
