_id_,fecha_inicio,comp_interno1,comp_interno2,comp_interno3,comp_interno4,categoria1,categoria2,categoria3,comp_externo1,comp_externo2,comp_externo3,comp_externo4
8238,02/05/2016,1519.756839,b'1',1,62,1,9,146,197.1014493,19.53461649,81,-230
21073,09/12/2016,0,b'1',31,65,2,9,176,631.1594203,45.70525711,112,-230
44180,06/08/2018,0,b'1',1,72,1,6,146,1179.710145,116.9204252,80,-230
65895,03/06/2019,0,b'1',24,60,1,10,169,434.7826087,43.09106579,103,-230
15649,20/09/2016,0,b'1',19,43,3,3,164,28.98550725,2.872737719,43,-229
36177,13/10/2017,0,b'1',1,43,1,9,146,130.4347826,12.92731974,79,-230
22984,25/01/2017,0,b'1',14,40,1,9,159,-609,9999999770,,
3645,05/07/2016,2422.492401,b'0',1,72,3,11,146,111.1507246,48,-230,
41663,01/02/2018,0,b'1',28,51,3,9,173,204.6666667,20.28440103,65,-230
73928,16/01/2020,3546.099291,b'1',21,55,2,6,166,1200,118.9313416,104,-230
38943,29/12/2017,0,b'1',30,49,1,9,175,666.6666667,38.78195921,95,-230
67435,05/09/2019,0,b'1',23,54,1,9,168,263.7681159,26.14191324,-45,-230
83809,06/08/2020,0,b'1',27,74,1,9,172,190.7246377,4.021832807,111,-230
9164,17/05/2016,0,b'1',25,51,2,6,170,947.826087,93.93852341,132,-230
47631,15/05/2018,1013.171226,b'1',9,59,1,3,154,579.7101449,57.45475438,42,-229
34734,09/11/2017,8105.369807,b'1',22,64,1,6,167,217.3913043,21.54553289,81,-230
98330,05/04/2021,0,b'1',19,44,1,9,164,156.5217391,15.51278368,109,-230
37816,04/11/2017,810.5369807,b'1',11,39,1,4,156,75.36231884,7.46911807,74,-230
47629,21/08/2018,1519.756839,b'1',31,66,3,9,176,283.1014493,28.0580293,108,-230
7657,29/07/2016,0,b'0',17,43,1,9,162,269.5652174,26.71646079,82,-230
87482,26/10/2020,0,b'1',15,47,2,8,160,460.8695652,45.67652973,61,-230
91552,22/12/2020,0,b'1',22,59,1,9,167,205.7971014,20.39643781,125,-230
73294,11/11/2019,0,b'1',19,57,3,9,164,121.7391304,8.043665613,120,-230
45950,21/09/2018,0,b'1',23,47,2,8,168,289.8550725,28.72737719,73,-230
72090,27/11/2019,0,b'1',14,75,2,9,159,486.9565217,48.26199368,-41,-230
57619,29/11/2018,0,b'0',22,45,1,9,167,209.2753623,20.74116633,77,-229
31750,15/11/2017,1013.171226,b'1',9,70,1,7,154,404.3478261,40.07469118,117,-230
26504,01/06/2017,0,b'0',25,53,2,9,170,521.7391304,41.36742315,99,-230
91269,18/11/2020,759.8784195,b'1',9,60,1,9,154,339.1304348,33.61103131,127,-230
70014,10/09/2019,0,b'1',9,30,1,6,154,562.3188406,0.861821316,88,-230
19637,07/12/2016,0,b'1',26,48,2,11,171,347.826087,6.03274921,100,-230
33101,03/08/2017,0,b'0',14,58,1,9,159,156.8115942,15.54151106,87,-230
48672,12/06/2018,1519.756839,b'0',3,41,1,1,148,28.98550725,2.872737719,91,-230
5420,26/08/2016,4052.684904,b'1',19,47,2,9,164,-608,-230,,
25963,16/06/2017,0,b'0',15,45,1,9,160,39.13043478,3.878195921,113,-230
64944,04/06/2019,0,b'0',1,47,1,9,146,434.7826087,43.09106579,31,-230
20688,30/03/2017,1215.805471,b'1',25,63,3,3,170,665.2173913,65.49841999,123,-230
92545,12/01/2021,0,b'1',30,55,1,13,175,288.6956522,8.005170928,127,-230
53018,30/01/2019,0,b'0',22,58,3,9,167,33.91304348,2.872737719,142,-230
65836,26/06/2019,0,b'1',19,48,3,9,164,217.3913043,21.54553289,59,-230
37235,22/12/2017,0,b'1',27,47,2,9,172,115.942029,53,-229,
23170,31/01/2017,0,b'1',1,44,1,11,146,405.2173913,32.08848032,106,-230
48774,05/09/2018,0,b'0',9,51,1,9,154,229.1304348,22.70899167,118,-230
69601,04/10/2019,8105.369807,b'1',23,54,1,6,168,1457.971014,144.4987073,124,-230
20893,08/12/2016,0,b'0',1,52,2,9,146,347.826087,34.47285263,113,-230
68841,24/01/2020,0,b'1',9,44,1,9,154,84.05797101,8.330939385,52,-230
91465,17/11/2020,0,b'1',14,71,3,9,159,552.173913,54.72565355,84,-230
85707,29/09/2020,0,b'1',19,57,2,9,164,663.7681159,65.78569377,65,-230
76783,22/01/2020,0,b'0',9,58,2,6,154,2898.550725,287.2737719,102,-230
62998,08/07/2019,0,b'0',3,52,2,9,148,144.9275362,8.043665613,121,-230
2486,06/04/2016,607.9027356,b'1',11,56,1,5,156,115.942029,9.623671359,94,-230
71786,12/11/2019,3546.099291,b'1',14,44,2,9,159,86.95652174,128,-230,
44547,13/04/2018,0,b'1',19,73,2,9,164,1101.449275,109.1640333,106,-230
98102,31/03/2021,0,b'1',22,61,2,9,167,997.6811594,98.87963229,111,-230
52968,05/09/2018,0,b'1',1,69,1,9,146,529.1304348,18.96006895,79,-230
85577,15/09/2020,2735.56231,b'1',14,51,3,4,159,60.86956522,6.03274921,61,-230
2386,15/03/2016,0,b'0',23,50,1,6,168,57.97101449,5.745475438,84,-230
5775,09/05/2016,5065.85613,b'1',3,58,3,9,148,280.4347826,27.79373743,78,-230
41691,24/01/2018,455.9270517,b'1',19,46,1,3,164,10.43478261,1.034185579,97,-230
72113,22/11/2019,911.8541033,b'1',24,46,1,9,169,26.37681159,2.614191324,36,-230
79555,06/05/2020,0,b'1',19,65,3,9,164,48.69565217,4.021832807,43,-230
17970,27/01/2017,0,b'1',23,57,1,9,168,318.8405797,28.72737719,129,-230
17399,16/12/2016,455.9270517,b'1',17,55,2,9,162,58.25507246,61,-229,
54595,09/01/2019,0,b'1',1,64,1,9,146,284.057971,28.15282965,134,-230
97435,06/04/2021,0,b'1',18,61,2,9,163,1330.434783,131.8586613,110,-230
95550,11/03/2021,0,b'1',1,58,1,9,146,511.3043478,50.67509336,91,-230
78465,27/03/2020,0,b'1',14,36,1,9,159,28.98550725,2.872737719,62,-229
41270,30/01/2018,0,b'1',24,44,2,9,169,168.115942,16.66187877,104,-230
85852,22/09/2020,1013.171226,b'1',19,55,2,6,164,950.7246377,94.22579718,95,-230
94410,27/01/2021,0,b'1',23,71,1,9,168,1888.985507,187.2163172,125,-230
59388,29/01/2019,0,b'0',15,49,1,8,160,185.5072464,16.66187877,67,-230
45551,25/05/2018,0,b'1',9,36,1,9,154,156.5217391,15.51278368,42,-230
86465,22/09/2020,0,b'1',5,57,1,9,150,191.3043478,18.96006895,111,-230
38903,03/01/2018,0,b'1',19,59,3,9,164,28.98550725,2.872737719,66,-230
11253,24/06/2016,0,b'1',19,64,2,3,164,289.8550725,28.72737719,83,-230
461,03/06/2016,1013.171226,b'0',14,45,3,8,159,88.98550725,6.03274921,128,-230
38648,21/11/2017,0,b'1',14,59,1,9,159,177.3913043,13.51335823,81,-230
50261,04/07/2018,0,b'1',19,44,3,9,164,234.7826087,23.26917552,123,-230
51101,23/08/2018,658.5612969,b'1',2,47,2,6,147,156.5217391,15.51278368,96,-230
16965,22/11/2016,0,b'0',19,55,3,9,164,713.0434783,70.66934789,124,-230
22010,31/01/2017,911.8541033,b'1',19,45,3,9,164,107.2463768,6.004021833,110,-230
3791,28/03/2016,1013.171226,b'1',28,61,3,11,173,76.52173913,68,-229,
21779,16/06/2017,0,b'0',23,56,1,9,168,121.7391304,12.06549842,79,-230
38249,17/11/2017,607.9027356,b'1',8,70,1,9,153,34.72463768,128,-230,
69486,08/11/2019,0,b'1',26,61,2,1,171,57.50724638,5.699511635,84,-230
44649,01/10/2018,0,b'0',1,42,1,9,146,354.6202899,35.14622235,-58,-229
33487,20/09/2017,1008.10537,b'1',28,59,2,9,173,57.97101449,131,-230,
57432,19/12/2018,0,b'1',19,70,1,9,164,250.1449275,13.21459351,129,-230
70402,23/10/2019,0,b'1',14,75,2,9,159,888.4057971,88.04941109,122,-230
94341,17/12/2020,0,b'1',22,52,1,9,167,888.115942,88.02068371,127,-230
36152,06/12/2017,56241.13475,b'0',1,64,1,9,146,460.6376812,45.65354783,94,-230
35487,26/09/2017,0,b'1',1,48,2,9,146,68.4057971,6.779661017,129,-230
31512,26/09/2017,0,b'1',15,59,1,9,160,425.2173913,42.14306234,20,-230
48929,25/06/2018,101.3171226,b'1',10,50,1,9,155,43.47826087,3.447285263,126,-230
91772,15/12/2020,0,b'0',1,62,1,9,146,202.8985507,7.066934789,4,-230
56240,01/02/2019,607.9027356,b'1',15,45,3,9,160,284.057971,28.15282965,68,-230
38062,09/02/2018,0,b'0',15,46,1,8,160,55.07246377,5.458201666,106,-230
80568,01/06/2020,8105.369807,b'1',21,71,1,5,166,724.6376812,71.81844298,91,-230
38449,17/11/2017,3039.513678,b'1',19,69,4,7,164,299.7101449,14.3636886,46,-230
3523,20/04/2016,1013.171226,b'1',30,68,1,5,175,43.47826087,4.309106579,117,-230
90297,27/11/2020,303.9513678,b'1',30,52,1,9,175,405.7971014,40.21832807,105,-230
71789,11/11/2019,810.5369807,b'1',10,51,1,9,155,330.4347826,32.74921,1,-230
15659,26/12/2016,709.2198582,b'1',7,47,1,9,152,124.6376812,12.35277219,109,-230
56781,26/11/2018,0,b'1',15,54,3,9,160,60.57971014,6.004021833,128,-230
46685,24/05/2018,0,b'1',21,75,2,3,166,512.4637681,50.79000287,125,-230
86273,24/09/2020,0,b'0',1,61,1,9,146,508.6956522,50.41654697,-31,-230
89222,16/10/2020,0,b'1',19,53,3,9,164,150.7246377,14.93823614,107,-230
84237,20/07/2020,0,b'1',1,49,1,11,146,533.3333333,52.85837403,124,-230
58746,09/01/2019,1013.171226,b'0',4,50,1,9,149,6.376811594,99,-230,
55029,26/11/2018,0,b'0',11,58,1,9,156,45.2173913,4.309106579,92,-230
97870,03/03/2021,0,b'1',1,61,1,9,146,83.47826087,8.273484631,97,-230
36551,28/11/2017,1215.805471,b'1',11,59,1,9,156,289.8550725,14.93823614,127,-230
77877,24/03/2020,0,b'1',3,75,1,9,148,0.014492754,128,-230,
9631,13/07/2016,0,b'1',19,52,1,9,164,217.3913043,21.54553289,84,-230
15724,31/10/2016,0,b'1',28,69,3,9,173,59.42028986,5.889112324,43,-229
14269,17/11/2016,1013.171226,b'1',11,51,2,9,156,113.0434783,95,-230,
51086,17/08/2018,1013.171226,b'0',1,75,1,9,146,-608,-230,,
9911,07/07/2016,0,b'1',15,44,1,9,160,127.5362319,1.149095088,42,-230
92984,08/01/2021,0,b'0',1,52,3,9,146,796.5449275,66.36024131,125,-230
38175,29/11/2017,0,b'1',22,51,2,9,167,182.6086957,18.09824763,-6,-230
3611,29/01/2016,0,b'0',2,67,2,6,147,863.7681159,85.60758403,129,-230
4414,23/05/2016,0,b'1',15,50,3,9,160,136.2318841,13.50186728,107,-230
84646,10/07/2020,0,b'0',1,57,3,6,146,101.4492754,4.309106579,129,-230
33448,17/11/2017,1013.171226,b'1',25,68,1,9,170,820.2898551,81.29847745,85,-230
65346,21/05/2019,0,b'1',22,48,2,9,167,2.898550725,78,-229,
67920,16/07/2019,0,b'0',16,47,2,11,161,489.8550725,48.54926745,96,-230
81647,21/05/2020,1215.805471,b'1',6,45,1,3,151,119,-230,,
62913,10/04/2019,0,b'0',19,57,3,9,164,241.7391304,120,-230,
22645,01/02/2017,0,b'0',24,60,3,7,169,378.2608696,37.48922723,106,-230
24375,20/02/2017,911.8541033,b'1',19,60,4,9,164,347.826087,12.92731974,129,-230
72523,31/10/2019,0,b'0',24,55,1,10,169,579.7101449,57.45475438,115,-230
67928,02/12/2019,0,b'1',10,44,1,9,155,217.3913043,21.54553289,100,-230
82891,22/06/2020,0,b'1',19,48,4,9,164,188.5217391,18.68428612,122,-230
58584,07/01/2019,0,b'1',1,57,1,9,146,875.3623188,20.10916403,80,-230
83438,24/07/2020,2330.29382,b'0',17,67,3,9,162,788.4057971,78.13846596,127,-230
75572,11/12/2019,0,b'1',24,59,1,10,169,82.60869565,8.187302499,139,-230
33195,17/08/2017,506.585613,b'1',28,55,1,9,173,115.942029,11.49095088,119,-230
17793,19/12/2016,0,b'0',15,59,1,9,160,571.0144928,56.59293307,86,-230
11949,07/10/2016,0,b'0',26,58,2,6,171,1334.492754,132.2608446,130,-230
12592,19/07/2016,4052.684904,b'1',3,65,1,9,148,718.8405797,71.24389543,124,-230
22917,27/01/2017,0,b'1',9,49,1,9,154,95.65217391,9.480034473,114,-230
5265,30/03/2016,1519.756839,b'0',19,61,3,6,164,59.42028986,133,-230,
93346,27/01/2021,2026.342452,b'1',1,61,2,9,146,443.4782609,43.09106579,129,-230
63099,29/03/2019,506.585613,b'0',22,56,2,9,167,430.4347826,42.66015513,132,-230
23489,20/02/2017,0,b'0',30,64,3,13,175,278.2608696,27.5782821,56,-230
58790,07/02/2019,0,b'1',1,67,2,13,146,988.4057971,71.81844298,77,-230
18505,06/12/2016,2026.342452,b'1',26,57,1,11,171,433.0434783,42.91870152,79,-230
20433,20/12/2016,0,b'0',14,46,3,9,159,182.6086957,18.09824763,98,-230
871,09/01/2017,0,b'1',19,57,1,3,164,-609,9999999770,,
3127,11/04/2016,0,b'0',1,48,1,8,146,327.5362319,32.46193623,101,-230
96498,10/03/2021,0,b'1',20,74,3,9,165,704.3478261,67.94024706,132,-230
45992,16/04/2018,0,b'0',17,75,1,5,162,710.1449275,65.49841999,113,-230
87307,12/10/2020,2026.342452,b'1',9,71,3,6,154,504.6376812,50.01436369,127,-230
7812,09/05/2016,810.5369807,b'0',3,57,3,9,148,121.7391304,12.06549842,106,-230
56514,18/02/2019,810.5369807,b'0',6,52,1,11,151,146.3768116,14.50732548,77,-230
52523,06/09/2018,0,b'0',14,45,2,3,159,220.2898551,21.83280666,80,-229
53562,16/10/2018,0,b'0',26,59,2,5,171,1219.565217,120.8704395,119,-230
47920,24/09/2018,0,b'1',15,44,2,12,160,262.057971,25.97242172,106,-230
73830,20/11/2019,0,b'1',1,58,1,9,146,191.3043478,9.480034473,115,-230
88307,27/10/2020,0,b'0',1,51,3,9,146,237.6811594,7.46911807,111,-230
11029,23/05/2017,0,b'1',15,58,1,8,160,724.6376812,12.20913531,99,-230
94209,30/12/2020,0,b'1',22,50,2,9,167,1336.231884,132.4332088,132,-230
16603,01/03/2017,0,b'1',15,51,1,9,160,202.8985507,20.10916403,70,-230
81309,01/06/2020,0,b'0',13,68,2,9,158,420.2898551,36.19649526,75,-230
70868,27/09/2019,810.5369807,b'0',30,59,1,9,175,153.6231884,90,-230,
90992,11/11/2020,4559.270517,b'1',22,57,3,9,167,2228.985507,220.9135306,123,-230
38179,19/06/2018,0,b'1',24,52,1,10,169,60.86956522,6.03274921,59,-229
28571,22/06/2017,0,b'1',13,46,1,9,158,42.02898551,4.165469693,63,-229
28805,15/08/2017,0,b'0',1,52,2,9,146,75.36231884,7.46911807,73,-229
46434,17/10/2018,0,b'1',19,44,1,9,164,130.4347826,11.49095088,74,-230
51040,19/10/2018,0,b'1',1,53,1,9,146,176.7913043,17.52168917,68,-230
72742,28/10/2019,1783.181358,b'1',28,43,1,9,173,342.0289855,33.89830508,58,-230
62557,15/05/2019,1013.171226,b'0',9,63,2,3,154,840.5797101,83.30939385,108,-230
60803,03/06/2019,0,b'1',19,72,3,6,164,484.057971,31.60011491,87,-230
85143,22/07/2020,1519.756839,b'1',15,56,2,9,160,156.5217391,15.51278368,80,-230
53172,20/12/2018,2026.342452,b'1',28,57,2,9,173,724.6376812,50.84171215,132,-230
85280,21/09/2020,0,b'0',19,59,3,3,164,591.0144928,58.57512209,134,-230
86115,05/10/2020,0,b'0',21,58,1,9,166,452.173913,44.81470842,68,-230
69071,18/09/2019,0,b'0',19,48,1,9,164,121.7391304,12.06549842,127,-230
3937,16/02/2016,0,b'0',19,51,1,6,164,72.46376812,7.181844298,57,-230
30541,26/06/2017,506.585613,b'1',20,45,1,9,165,66.66666667,6.607296754,94,-230
85519,10/07/2020,0,b'1',1,37,1,11,146,460.8695652,45.67652973,127,-230
89602,29/10/2020,0,b'1',19,68,2,9,164,823.1884058,81.58575122,96,-230
91158,09/10/2020,0,b'0',1,48,1,9,146,892.7536232,88.48032175,127,-230
38741,11/01/2018,3799.392097,b'1',22,53,2,9,167,282.6086957,28.00919276,119,-230
56595,12/11/2018,0,b'1',4,45,1,6,149,144.9275362,10.91640333,60,-229
80298,31/03/2020,0,b'0',11,74,1,5,156,1152.753623,114.2487791,51,-230
72678,25/10/2019,1013.171226,b'0',19,53,1,9,164,93,-230,,
59345,19/02/2019,1013.171226,b'1',16,47,2,6,161,-609,9999999770,,
68861,12/02/2020,10131.71226,b'1',1,67,1,8,146,1208.695652,119.7931629,112,-230
73455,21/11/2019,0,b'1',6,51,1,5,151,73.91304348,118,-230,
5316,31/03/2016,1013.171226,b'1',12,74,1,8,157,66.66666667,6.607296754,69,-229
30776,25/07/2017,0,b'1',14,64,1,6,159,724.9855072,57.45475438,51,-230
76290,16/01/2020,0,b'1',25,50,1,9,170,20.28985507,2.010916403,84,-229
71740,26/05/2020,0,b'1',25,60,1,9,170,1543.478261,152.9732835,107,-230
75809,05/03/2020,0,b'1',19,67,2,9,164,905.7971014,89.77305372,35,-229
61530,08/04/2019,0,b'1',1,49,1,6,146,608.6956522,60.3274921,122,-230
33332,07/11/2017,0,b'0',15,50,2,9,160,-608,-230,,
